文件名,节点数,关系数,状态,错误信息
小儿化食口服液.txt,36,48,成功,
小儿咳喘灵颗粒.txt,41,41,成功,
小儿感冒舒颗粒.txt,30,34,成功,
小儿止咳糖浆.txt,46,46,成功,
小儿清热止咳口服液.txt,55,74,成功,
小儿热速清口服液.txt,38,52,成功,
小儿肺热咳喘口服液.txt,49,57,成功,
小柴胡颗粒.txt,52,66,成功,
小金丸.txt,48,71,成功,
小金胶囊.txt,28,27,成功,
少腹逐瘀丸.txt,35,48,成功,
少腹逐瘀胶囊.txt,26,65,成功,
尿感宁颗粒.txt,13,12,成功,
尿毒清颗粒(无糖型).txt,29,34,成功,
尿路通胶囊.txt,26,44,成功,
川贝枇杷颗粒.txt,44,53,成功,
强力枇杷露.txt,30,30,成功,
心元胶囊.txt,20,19,成功,
急支糖浆.txt,41,48,成功,
感冒清热颗粒.txt,55,54,成功,
抗宫炎片.txt,31,38,成功,
抗宫炎胶囊.txt,37,43,成功,
抗宫炎颗粒.txt,11,13,成功,
抗病毒口服液.txt,53,61,成功,
抗病毒颗粒.txt,54,62,成功,
散结乳癖膏.txt,27,48,成功,
散结镇痛胶囊.txt,29,33,成功,
普乐安胶囊.txt,16,20,成功,
更年宁心胶囊.txt,33,56,成功,
更年安胶囊.txt,37,43,成功,
杜仲补腰合剂.txt,29,28,成功,
杞菊地黄丸.txt,40,46,成功,
桂枝茯苓丸.txt,16,16,成功,
桂枝茯苓片.txt,20,26,成功,
桂枝茯苓胶囊.txt,28,50,成功,
桂附地黄丸.txt,31,30,成功,
椿乳凝胶.txt,32,63,成功,
榕癃清片.txt,47,76,成功,
槐角丸.txt,33,38,成功,
止痛化癥胶囊.txt,35,58,成功,
正天丸.txt,66,85,成功,
正骨水.txt,46,45,成功,
泌尿宁胶囊.txt,21,20,成功,
洁尔阴洗液.txt,47,76,成功,
洁阴康洗液.txt,43,81,成功,
活力苏口服液.txt,30,45,成功,
消渴丸.txt,54,71,成功,
消痛贴膏.txt,24,23,成功,
消糜栓.txt,34,48,成功,
清开灵口服液.txt,57,76,成功,
清火片.txt,44,44,成功,
湿毒清胶囊.txt,56,70,成功,
点舌丸.txt,20,19,成功,
牛黄上清丸.txt,59,76,成功,
牛黄解毒丸.txt,27,26,成功,
牛黄解毒片.txt,77,76,成功,
独一味胶囊.txt,43,43,成功,
玉屏风颗粒.txt,46,45,成功,
生白口服液.txt,25,60,成功,
生脉饮.txt,31,30,成功,
生血宁片.txt,24,52,成功,
痰热清注射液.txt,50,71,成功,
癃闭舒胶囊.txt,27,51,成功,
百安洗液.txt,27,61,成功,
盆炎净胶囊.txt,26,27,成功,
盆炎净颗粒.txt,27,27,成功,
益中生血片.txt,46,75,成功,
眩晕宁片.txt,40,43,成功,
稳心颗粒.txt,36,52,成功,
红药气雾剂.txt,24,23,成功,
维C银翘片.txt,72,83,成功,
翁沥通胶囊.txt,29,42,成功,
翁沥通颗粒.txt,29,42,成功,
耳聋左慈丸.txt,25,30,成功,
肝精补血素口服液.txt,35,34,成功,
肺力咳合剂.txt,40,43,成功,
肾康宁片.txt,33,36,成功,
肿痛安胶囊.txt,26,37,成功,
胃安胶囊.txt,34,33,成功,
胃苏颗粒.txt,35,46,成功,
胃逆康胶囊.txt,50,59,成功,
胜红清热胶囊.txt,14,18,成功,
芪麝丸.txt,30,49,成功,
茜芷片.txt,18,22,成功,
茜芷胶囊.txt,17,21,成功,
藿香正气水.txt,67,97,成功,
蛇胆川贝枇杷膏.txt,42,48,成功,
血府逐瘀泡腾片.txt,37,42,成功,
血必净注射液.txt,17,20,成功,
血美安胶囊.txt,21,35,成功,
血脂康胶囊.txt,31,50,成功,
补肾通淋颗粒.txt,26,42,成功,
裸花紫珠栓.txt,13,12,成功,
西瓜霜润喉片.txt,38,37,成功,
跌打生骨颗粒.txt,20,19,成功,
通乐颗粒.txt,14,25,成功,
通便灵胶囊.txt,41,42,成功,
金刚藤糖浆.txt,39,38,成功,
金果含片.txt,38,43,成功,
金英胶囊.txt,33,59,成功,
雷公藤多苷片.txt,30,32,成功,
青柏洁身洗液.txt,29,34,成功,
青鹏软膏.txt,24,29,成功,
颈复康颗粒.txt,49,57,成功,
风热咳嗽胶囊.txt,39,38,成功,
香丹注射液.txt,53,52,成功,
香砂养胃丸.txt,47,74,成功,
骨康胶囊.txt,26,31,成功,
鸦胆子油乳注射液.txt,23,22,成功,
麝珠明目滴眼液.txt,30,33,成功,
麻仁润肠丸.txt,52,54,成功,
黄精赞育胶囊.txt,37,55,成功,
黄芪精口服液.txt,22,23,成功,
黄连上清丸.txt,58,75,成功,
鼻炎康片.txt,60,62,成功,
龙胆泻肝丸.txt,54,63,成功,
